#{"t_start": 1764136897.55839, "env_id": "merge-v0"}
r,l,t
11.174487,12,78.674506
5.170094,6,78.720162
3.382123,4,78.756096
4.444444,5,78.794243
6.183835,7,78.854797
10.609823,12,78.952901
11.638889,12,79.052376
11.202264,12,79.164543
11.25782,12,79.272617
7.156057,8,79.338534
7.036894,8,79.401884
11.146709,12,79.511804
7.257396,8,79.575948
10.528764,12,79.673568
10.69543,12,79.779558
10.528764,12,79.875835
10.500986,12,79.974304
7.267168,8,80.042727
11.202264,12,80.150312
10.775016,12,80.243251
11.473265,13,80.353143
7.146285,8,80.41992
7.163733,8,80.486574
11.694444,12,80.583231
11.611111,12,80.680977
10.387611,12,80.784092
11.202264,12,80.889567
10.44543,12,80.986044
10.723208,12,81.090242
7.013645,8,81.153674
11.146709,12,81.259359
9.069294,10,81.348612
11.202264,12,81.454808
5.217793,6,81.502057
8.62694,10,81.578633
10.609823,12,81.679302
11.25782,12,81.78483
10.841153,12,81.881864
5.790258,7,81.940953
6.844542,8,82.01419
11.388889,12,82.11743
7.829753,9,82.184062
3.401481,4,82.219925
7.049781,8,82.282591
7.464327,9,82.363006
11.666667,12,82.462511
11.285598,12,82.57244
7.229618,8,82.639433
5.258593,6,82.687836
7.248121,8,82.753555
10.612097,12,82.85656
5.247191,6,82.903201
7.257396,8,82.968818
5.182115,6,83.017371
10.528764,12,83.116136
5.285091,6,83.168183
6.084777,7,83.233694
11.285598,12,83.341725
7.267168,8,83.409951
7.236079,8,83.4745
6.300074,7,83.539768
7.23939,8,83.605242
5.171645,6,83.656166
6.206925,7,83.716182
4.295848,5,83.754345
7.23939,8,83.818503
6.813371,8,83.892025
11.230042,12,84.002048
11.035598,12,84.107263
5.004372,6,84.160601
11.128425,12,84.276866
5.946887,7,84.335712
10.968321,13,84.457855
7.885512,9,84.54296
13.328457,15,84.674092
5.127023,6,84.729254
11.416667,12,84.831083
11.666667,12,84.925377
7.291635,8,84.992752
11.285598,12,85.101594
7.26386,8,85.16343
11.202264,12,85.266078
6.035091,7,85.321041
11.611111,12,85.417475
5.217793,6,85.462433
10.484324,12,85.565397
7.267168,8,85.635657
3.364056,4,85.670504
7.267168,8,85.737636
5.256764,6,85.786955
5.237991,6,85.833812
11.285598,12,85.941832
5.929147,7,85.995095
6.138889,7,86.049636
5.836278,7,86.105566
4.025899,5,86.151656
7.038987,8,86.215812
11.174487,12,86.325081
5.267168,6,86.369559
11.202264,12,86.478288
3.364056,4,86.513263
6.250031,7,86.575407
