#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
4.444444,5,161.886827
4.422222,5,161.976109
6.921083,8,162.129839
8.059265,9,162.288351
4.422222,5,162.368559
9.699727,12,162.595365
13.078457,14,162.877928
13.022901,14,163.117395
5.307453,6,163.24487
4.364056,5,163.328325
8.923991,11,163.541743
9.443745,12,163.761219
4.347193,5,163.843341
7.257396,8,164.016482
7.671591,9,164.182223
4.364056,5,164.305125
4.382123,5,164.385758
4.444444,5,164.470323
3.364056,4,164.544917
13.078457,14,164.843072
4.237991,5,164.933628
11.968331,14,165.190452
6.162942,7,165.34794
9.455131,12,165.645762
13.078457,14,165.948449
11.392212,14,166.210966
3.422222,4,166.295126
7.557493,9,166.490225
13.73563,15,166.794707
7.975932,9,166.970318
6.265912,7,167.120737
4.444444,5,167.203849
8.031487,9,167.42212
8.031487,9,167.585602
4.401481,5,167.667403
4.055556,5,167.748659
8.00371,9,167.951638
7.948154,9,168.116669
6.258191,7,168.264272
11.230052,12,168.556329
6.276234,7,168.658647
8.059265,9,168.868932
13.800679,15,169.180909
4.444444,5,169.306041
13.078457,14,169.566817
4.444444,5,169.654827
5.307453,6,169.801193
5.319963,6,169.892717
4.382123,5,170.015239
4.347193,5,170.102536
6.276234,7,170.245377
3.422222,4,170.31982
13.078457,14,170.573442
5.316765,6,170.703195
8.06402,9,170.867038
11.972488,15,171.173034
4.401481,5,171.269026
6.276234,7,171.41519
6.249538,7,171.522173
3.364056,4,171.608821
5.249538,6,171.746051
5.275128,6,171.842146
11.41999,14,172.123705
6.162942,7,172.269477
6.921083,8,172.423592
6.185305,7,172.530452
3.444444,4,172.617004
5.265912,6,172.748138
13.078457,14,173.038317
12.218331,14,173.340596
6.121079,7,173.485527
11.41999,14,173.730471
4.347193,5,173.819821
6.125202,7,173.979716
3.401481,4,174.058646
6.197814,7,174.202398
6.185305,7,174.360091
5.366673,6,174.45831
4.247054,5,174.553893
6.173699,7,174.697519
8.059265,9,174.873717
4.207037,5,175.063755
8.06402,9,175.240172
6.934709,8,175.397003
3.382123,4,175.46957
3.401481,4,175.550421
8.059265,9,175.733753
5.278315,6,175.876823
8.031487,9,176.058627
8.031487,9,176.228879
4.233431,5,176.312204
7.892598,9,176.577183
10.095817,12,176.810125
12.134998,14,177.06006
5.775899,7,177.210233
5.861111,7,177.357624
10.563375,12,177.584877
11.41999,14,177.849202
11.41999,14,178.155719
13.078457,14,178.429246
11.41999,14,178.736095
3.444444,4,178.822749
5.127023,6,178.923526
5.267168,6,179.06054
5.206925,6,179.156454
6.21129,7,179.307457
6.88732,8,179.53389
8.06402,9,179.713239
6.162942,7,179.884066
7.257396,8,180.041915
4.316765,5,180.134119
7.017112,8,180.288272
6.216742,7,180.427665
9.948271,12,180.664387
4.422222,5,180.74565
8.059265,9,180.912633
12.218331,14,181.214419
4.331454,5,181.30777
6.980174,8,181.464308
8.031487,9,181.630231
4.444444,5,181.760237
6.162942,7,181.866703
6.197814,7,182.015412
7.003173,8,182.175847
15.189568,17,182.501843
11.913753,14,182.800319
8.68993,10,182.967266
13.078457,14,183.251146
5.024832,6,183.343636
8.059265,9,183.55977
6.909623,8,183.71625
4.210213,5,183.80138
8.059265,9,183.971997
8.059265,9,184.139896
4.958071,6,184.271416
6.275128,7,184.429088
6.241405,7,184.527481
12.752943,14,184.838766
6.213627,7,184.985423
8.059265,9,185.155073
3.382123,4,185.284001
6.324993,7,185.43681
8.059265,9,185.605195
8.059265,9,185.819855
4.444444,5,185.917612
7.003173,8,186.077554
8.680289,10,186.29927
4.1881,5,186.384215
9.467704,11,186.610481
3.194444,4,186.68311
7.911456,9,186.838991
8.059265,9,187.012527
6.276234,7,187.158149
